Symbol,Close,SMA200,SMA200_dist
API3USDT,1.529,1.633605,-6.403322712650859
MASKUSDT,1.041,1.191195,-12.608766826590113
LPTUSDT,8.4,9.28365,-9.518346770935993
TLMUSDT,0.02057,0.02280045,-9.782482363286682
YGGUSDT,0.3052,0.37879399999999996,-19.428502035407096
AKROUSDT,0.00334,0.0038597500000000003,-13.46589805039187
ALPHAUSDT,0.1077,0.112926,-4.627809361882998
BSWUSDT,0.2354,0.2740005,-14.08774801505836
HOTUSDT,0.001965,0.00204095,-3.7213062544403326
IOTXUSDT,0.02609,0.028454999999999998,-8.311368827973991
BATUSDT,0.2893,0.306483,-5.606509985871974
DUSKUSDT,0.116,0.12060850000000001,-3.821040805581697
CELRUSDT,0.01388,0.015561,-10.80264764475291
QTUMUSDT,2.624,2.885605,-9.065863137886158
CELOUSDT,0.754,0.785255,-3.980235719607011
ICXUSDT,0.2144,0.24270350000000002,-11.661760131188883
ASTRUSDT,0.0344,0.0379365,-9.322156761957476
BANDUSDT,1.051,1.20447,-12.741703819937399
CTSIUSDT,0.1301,0.142416,-8.647904729805637
CTKUSDT,0.821,0.886295,-7.36718586926476
PAXGUSDT,1635.0,1667.815,-1.9675443619346304
ZENUSDT,12.3,13.999500000000001,-12.13971927568842
ROSEUSDT,0.05399,0.059682950000000005,-9.538653836648493
OGNUSDT,0.1359,0.1502735,-9.564893344468594
IMXUSDT,0.63,0.75835,-16.92490274939012
ACHUSDT,0.01391,0.011770850000000001,18.173284002429725
ANTUSDT,1.531,1.6828800000000002,-9.02500475375548
REQUSDT,0.0939,0.106334,-11.693343615400531
SKLUSDT,0.03359,0.039370949999999995,-14.683288058835242
CVCUSDT,0.1147,0.1304645,-12.083363673643031
ZRXUSDT,0.2431,0.272291,-10.720515918631168
TOMOUSDT,0.3862,0.45031400000000005,-14.237620860110955
ONTUSDT,0.2055,0.22447150000000002,-8.451629716912851
ARPAUSDT,0.03137,0.0341857,-8.236484846002853
FXSUSDT,5.052,4.845255,4.266958085797336
ILVUSDT,54.4,58.8975,-7.636147544462841
